location,goods,price,price_factors,supply_volume,quality_grade,record_date
Surulere,Onions,486.63,Pest/Disease Outbreak,High,Grade A (Fresh),2023-02-12
Ojodu,Tomatoes,445.33,Seasonal Availability,High,Grade A (Fresh),2023-06-29
Iwo Road,Cabbage,576.05,Demand Surge,Low,Grade A (Fresh),2023-08-05
Oluyole Estate,Cucumber,498.5,Seasonal Availability,Scarce,Grade A (Fresh),2023-08-22
Iwo Road,Rice,1841.41,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2024-02-17
Mokola,Banana,268.7,Storage Limitations,Moderate,Grade B (Average),2023-06-07
Bashorun,Oranges,529.17,Fuel Price Hike,High,Grade A (Fresh),2023-05-09
Agodi GRA,Okra,347.54,Government Policies,High,Grade A (Fresh),2023-11-14
Oshodi,Oranges,276.28,Demand Surge,Moderate,Grade B (Average),2023-01-02
Oke Ado,Chicken (Live),5373.55,Transportation Cost,High,Grade A (Fresh),2023-10-07
Ketu,Yam,1485.28,Market Competition,Scarce,Grade A (Fresh),2023-06-12
Amuwo Odofin,Pepper,1467.83,Storage Limitations,High,Grade A (Fresh),2023-04-10
Ojodu,Mangoes,383.02,Exchange Rate Fluctuation,High,Grade B (Average),2024-01-22
Ojodu,Pepper,1070.11,Market Competition,High,Grade B (Average),2024-01-15
Agbowo,Maize,215.47,Market Competition,Low,Grade B (Average),2024-01-11
Ojoo,Plantain,217.72,Market Competition,High,Grade A (Fresh),2023-10-08
Dugbe,Potatoes,690.94,Pest/Disease Outbreak,Low,Grade C (Below Average),2023-05-25
UI (University of Ibadan),Pepper,1231.94,Market Competition,High,Grade C (Below Average),2023-11-14
Eleyele,Rice,1539.15,Government Policies,High,Grade C (Below Average),2023-03-06
Ojodu,Pepper,1254.53,Transportation Cost,High,Grade A (Fresh),2023-07-15
Festac Town,Pineapple,662.18,Fuel Price Hike,Moderate,Grade A (Fresh),2023-08-02
Bashorun,Banana,475.43,Weather Conditions,High,Grade A (Fresh),2023-04-21
Surulere,Pepper,683.07,Storage Limitations,Low,Grade B (Average),2023-11-22
Agbowo,Chicken (Live),3795.35,Storage Limitations,Moderate,Grade A (Fresh),2023-06-13
Eleyele,Pineapple,1075.5,Demand Surge,Moderate,Grade A (Fresh),2023-11-11
Ikorodu,Ginger,1117.12,Seasonal Availability,Low,Grade A (Fresh),2023-08-16
Amuwo Odofin,Lettuce,611.19,Government Policies,Moderate,Grade A (Fresh),2023-07-22
Ikeja,Tomatoes,774.83,Transportation Cost,Low,Grade B (Average),2023-06-04
Agbowo,Pepper,1463.86,Storage Limitations,High,Grade A (Fresh),2023-09-10
Surulere,Tomatoes,746.7,Market Competition,High,Grade C (Below Average),2023-08-28
Ikeja,Cabbage,551.22,Weather Conditions,Scarce,Grade A (Fresh),2023-05-23
Oke Ado,Potatoes,439.78,Government Policies,High,Grade A (Fresh),2023-10-06
Ojoo,Onions,492.91,Seasonal Availability,Moderate,Grade A (Fresh),2023-02-07
Mushin,Banana,145.42,Demand Surge,Low,Grade B (Average),2023-03-10
Agege,Okra,656.25,Seasonal Availability,Low,Grade A (Fresh),2023-11-25
Orita-Challenge,Mangoes,487.0,Demand Surge,High,Grade A (Fresh),2023-07-18
Molete,Ginger,1508.68,Transportation Cost,High,Grade A (Fresh),2023-03-12
Anthony Village,Plantain,872.77,Storage Limitations,High,Grade A (Fresh),2023-08-16
Alimosho,Pineapple,826.75,Market Competition,Low,Grade A (Fresh),2023-02-01
Mushin,Maize,568.59,Government Policies,Scarce,Grade A (Fresh),2023-02-16
Oke Ado,Plantain,468.48,Exchange Rate Fluctuation,Moderate,Grade B (Average),2023-11-12
Badagry,Cucumber,164.94,Seasonal Availability,High,Grade B (Average),2024-02-17
Gbagada,Tomatoes,443.53,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-04-19
Bodija,Pepper,914.25,Seasonal Availability,High,Grade B (Average),2023-11-10
Agege,Mangoes,366.02,Market Competition,High,Grade B (Average),2023-10-27
Oke Bola,Oranges,197.58,Transportation Cost,Moderate,Grade A (Fresh),2023-06-16
Anthony Village,Garlic,2689.72,Market Competition,Low,Grade A (Fresh),2023-07-14
UI (University of Ibadan),Cucumber,296.15,Exchange Rate Fluctuation,High,Grade B (Average),2023-06-30
Lekki,Ginger,2206.45,Pest/Disease Outbreak,Moderate,Grade B (Average),2023-03-13
Maryland,Okra,864.54,Market Competition,Moderate,Grade B (Average),2023-10-08
Mokola,Cabbage,581.78,Transportation Cost,Moderate,Grade C (Below Average),2023-02-10
Ikoyi,Lettuce,204.05,Weather Conditions,High,Grade B (Average),2023-05-19
Festac Town,Carrots,918.02,Government Policies,High,Grade A (Fresh),2023-11-17
Dugbe,Banana,568.93,Fuel Price Hike,High,Grade A (Fresh),2023-04-30
Oluyole Estate,Tomatoes,828.36,Pest/Disease Outbreak,Moderate,Grade C (Below Average),2023-06-01
Yaba,Garlic,2426.51,Seasonal Availability,High,Grade A (Fresh),2023-10-14
Ologuneru,Banana,130.71,Transportation Cost,High,Grade B (Average),2023-01-28
Ologuneru,Oranges,79.27,Pest/Disease Outbreak,Low,Grade B (Average),2023-11-24
Sango,Spinach,445.16,Government Policies,High,Grade B (Average),2024-02-13
Victoria Island (VI),Tomatoes,978.18,Storage Limitations,High,Grade A (Fresh),2023-12-23
Agodi GRA,Fish (Fresh),4875.19,Market Competition,Moderate,Grade A (Fresh),2023-08-23
Dugbe,Yam,459.58,Transportation Cost,High,Grade A (Fresh),2023-12-11
Yaba,Okra,311.27,Weather Conditions,High,Grade A (Fresh),2024-02-11
Yaba,Maize,708.29,Market Competition,Moderate,Grade B (Average),2023-12-20
Orita-Challenge,Pineapple,1078.55,Storage Limitations,High,Grade A (Fresh),2023-09-02
Oluyole Estate,Cucumber,461.63,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2024-01-13
Eleyele,Ginger,4684.57,Fuel Price Hike,Moderate,Grade B (Average),2024-01-14
Amuwo Odofin,Okra,431.15,Seasonal Availability,High,Grade A (Fresh),2023-12-31
Maryland,Sweet Potatoes,506.58,Pest/Disease Outbreak,High,Grade B (Average),2023-12-02
Oke Ado,Lettuce,349.5,Storage Limitations,High,Grade A (Fresh),2023-09-19
Ijegun,Fish (Fresh),3214.55,Government Policies,Moderate,Grade A (Fresh),2023-11-13
Oshodi,Okra,499.48,Weather Conditions,High,Grade A (Fresh),2023-09-23
Bashorun,Lettuce,1331.2,Demand Surge,High,Grade B (Average),2024-02-13
UI (University of Ibadan),Watermelon,626.4,Seasonal Availability,High,Grade B (Average),2023-05-13
Orita-Challenge,Tomatoes,735.37,Weather Conditions,High,Grade B (Average),2023-02-01
Akobo,Beans,499.07,Seasonal Availability,High,Grade B (Average),2023-02-19
Bashorun,Watermelon,2365.1,Exchange Rate Fluctuation,High,Grade A (Fresh),2024-02-17
Ojodu,Banana,135.57,Market Competition,Low,Grade B (Average),2023-12-13
Surulere,Rice,1972.61,Demand Surge,Moderate,Grade A (Fresh),2023-10-15
Oluyole Estate,Sweet Potatoes,633.05,Market Competition,Moderate,Grade A (Fresh),2023-06-04
Ologuneru,Watermelon,2271.88,Transportation Cost,Scarce,Grade B (Average),2023-01-10
Agodi GRA,Mangoes,156.12,Transportation Cost,High,Grade A (Fresh),2023-11-20
Ketu,Lettuce,1409.17,Fuel Price Hike,High,Grade C (Below Average),2024-02-06
Oshodi,Beans,1393.33,Government Policies,High,Grade A (Fresh),2023-10-30
Samonda,Cucumber,318.11,Demand Surge,High,Grade B (Average),2023-01-07
Oluyole Estate,Yam,1094.47,Transportation Cost,Moderate,Grade A (Fresh),2023-03-25
Festac Town,Sweet Potatoes,743.71,Transportation Cost,Low,Grade A (Fresh),2023-03-13
Mushin,Onions,258.5,Seasonal Availability,High,Grade A (Fresh),2024-03-30
Agodi GRA,Garlic,2387.82,Demand Surge,Low,Grade A (Fresh),2023-07-28
Oshodi,Onions,562.83,Market Competition,Scarce,Grade A (Fresh),2023-06-06
Sango,Oranges,122.39,Seasonal Availability,Moderate,Grade A (Fresh),2024-02-28
Samonda,Banana,447.09,Exchange Rate Fluctuation,Scarce,Grade A (Fresh),2023-12-31
Bashorun,Pepper,2170.52,Demand Surge,Scarce,Grade A (Fresh),2023-12-13
Orita-Challenge,Ginger,2948.03,Exchange Rate Fluctuation,Moderate,Grade B (Average),2023-07-04
Sango,Spinach,458.18,Weather Conditions,High,Grade C (Below Average),2023-02-04
Molete,Ginger,3783.01,Fuel Price Hike,High,Grade A (Fresh),2023-01-15
Epe,Sweet Potatoes,230.45,Market Competition,Low,Grade C (Below Average),2023-09-27
Molete,Fish (Fresh),2215.22,Seasonal Availability,Low,Grade C (Below Average),2023-06-18
Ikorodu,Chicken (Live),7719.83,Storage Limitations,High,Grade A (Fresh),2023-08-03
Ikorodu,Potatoes,363.29,Market Competition,Moderate,Grade A (Fresh),2024-03-24
Ogba,Fish (Fresh),2025.47,Seasonal Availability,Scarce,Grade A (Fresh),2023-10-18
Badagry,Onions,389.35,Fuel Price Hike,Moderate,Grade B (Average),2023-09-26
Ijegun,Beans,933.02,Demand Surge,Moderate,Grade B (Average),2023-06-19
Oke Ado,Chicken (Live),9211.45,Storage Limitations,Moderate,Grade A (Fresh),2023-11-11
Eleyele,Potatoes,578.95,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-12-11
Sango,Banana,128.74,Government Policies,Scarce,Grade B (Average),2023-04-18
Victoria Island (VI),Oranges,150.9,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-08-26
Ring Road (Central Ibadan),Mangoes,345.19,Government Policies,High,Grade B (Average),2023-09-27
Orita-Challenge,Maize,613.32,Storage Limitations,High,Grade A (Fresh),2023-02-24
Apapa,Spinach,274.93,Government Policies,Low,Grade C (Below Average),2023-01-14
Ojodu,Plantain,440.5,Storage Limitations,Moderate,Grade A (Fresh),2023-11-21
Gbagada,Mangoes,530.68,Transportation Cost,Moderate,Grade B (Average),2024-03-18
Orita-Challenge,Maize,727.43,Fuel Price Hike,Moderate,Grade B (Average),2024-01-21
Agbowo,Chicken (Live),7529.21,Government Policies,High,Grade A (Fresh),2023-10-24
Victoria Island (VI),Spinach,245.27,Government Policies,Moderate,Grade A (Fresh),2023-01-07
Dugbe,Mangoes,369.23,Market Competition,High,Grade B (Average),2024-02-24
Ikeja,Pepper,2003.17,Fuel Price Hike,Moderate,Grade A (Fresh),2023-07-18
Badagry,Rice,1399.7,Weather Conditions,Low,Grade A (Fresh),2023-04-13
Magodo,Okra,240.77,Pest/Disease Outbreak,Scarce,Grade B (Average),2024-03-20
Monatan,Oranges,294.67,Pest/Disease Outbreak,High,Grade B (Average),2023-10-11
Sango,Garlic,2930.44,Fuel Price Hike,Low,Grade C (Below Average),2023-03-28
Mokola,Okra,524.48,Exchange Rate Fluctuation,High,Grade C (Below Average),2024-02-05
Lekki,Lettuce,262.04,Government Policies,Moderate,Grade B (Average),2023-03-28
Agbowo,Lettuce,735.26,Weather Conditions,Moderate,Grade A (Fresh),2023-06-04
Oluyole Estate,Okra,526.32,Pest/Disease Outbreak,Low,Grade B (Average),2023-03-15
Mushin,Rice,648.39,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-08-23
Ikoyi,Banana,313.8,Fuel Price Hike,High,Grade A (Fresh),2024-02-14
Ikorodu,Cabbage,652.73,Government Policies,High,Grade A (Fresh),2023-08-24
Bashorun,Beans,602.14,Seasonal Availability,Low,Grade B (Average),2023-09-06
Magodo,Spinach,226.94,Pest/Disease Outbreak,High,Grade B (Average),2024-01-23
Magodo,Maize,972.59,Fuel Price Hike,Scarce,Grade A (Fresh),2023-09-19
UI (University of Ibadan),Oranges,168.73,Market Competition,Low,Grade A (Fresh),2023-10-25
Samonda,Pineapple,717.6,Government Policies,Scarce,Grade A (Fresh),2023-08-18
Badagry,Mangoes,199.81,Fuel Price Hike,Low,Grade B (Average),2023-01-19
Anthony Village,Ginger,2028.4,Seasonal Availability,Moderate,Grade A (Fresh),2023-10-15
Bashorun,Banana,259.77,Seasonal Availability,Scarce,Grade A (Fresh),2023-08-29
Ikorodu,Potatoes,780.75,Storage Limitations,Moderate,Grade B (Average),2023-04-29
Victoria Island (VI),Beans,1376.42,Fuel Price Hike,High,Grade A (Fresh),2024-01-24
Apapa,Chicken (Live),3511.05,Seasonal Availability,High,Grade B (Average),2024-02-05
Agodi GRA,Potatoes,649.05,Seasonal Availability,Low,Grade A (Fresh),2023-08-20
Mushin,Watermelon,2394.98,Transportation Cost,High,Grade A (Fresh),2023-03-16
Ikoyi,Maize,726.66,Fuel Price Hike,Scarce,Grade A (Fresh),2024-02-16
Monatan,Spinach,322.09,Exchange Rate Fluctuation,High,Grade B (Average),2023-02-11
Gbagada,Carrots,937.91,Market Competition,Moderate,Grade A (Fresh),2023-03-28
Ajah,Sweet Potatoes,1167.07,Fuel Price Hike,Scarce,Grade A (Fresh),2023-12-18
Challenge,Pepper,510.69,Seasonal Availability,Moderate,Grade A (Fresh),2023-12-19
Dugbe,Spinach,511.99,Seasonal Availability,Moderate,Grade A (Fresh),2023-01-17
Jericho,Banana,197.64,Fuel Price Hike,High,Grade A (Fresh),2023-03-04
Apapa,Potatoes,673.84,Storage Limitations,Moderate,Grade A (Fresh),2023-02-03
Ketu,Rice,1535.99,Government Policies,High,Grade C (Below Average),2024-03-16
Ijegun,Okra,300.62,Market Competition,Moderate,Grade A (Fresh),2023-01-20
Ikeja,Garlic,1218.72,Pest/Disease Outbreak,High,Grade B (Average),2023-09-11
Apata,Sweet Potatoes,717.92,Transportation Cost,High,Grade B (Average),2023-11-29
Ojodu,Rice,652.69,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-12-20
Ajah,Yam,865.32,Seasonal Availability,Moderate,Grade A (Fresh),2023-11-09
Lekki,Onions,681.33,Weather Conditions,Moderate,Grade A (Fresh),2023-02-17
Ajah,Sweet Potatoes,808.99,Fuel Price Hike,Low,Grade A (Fresh),2023-12-27
Samonda,Pepper,1385.46,Demand Surge,Moderate,Grade B (Average),2023-03-08
Ketu,Plantain,794.34,Transportation Cost,High,Grade C (Below Average),2023-03-30
Eleyele,Onions,414.68,Demand Surge,High,Grade A (Fresh),2023-06-10
Ojoo,Mangoes,554.62,Demand Surge,High,Grade A (Fresh),2024-03-04
Agbowo,Plantain,774.26,Storage Limitations,Low,Grade A (Fresh),2023-01-19
Dugbe,Pepper,1197.79,Storage Limitations,High,Grade A (Fresh),2024-03-01
Oke Bola,Beans,2179.64,Fuel Price Hike,Scarce,Grade B (Average),2023-12-10
Ikeja,Ginger,2538.69,Weather Conditions,Low,Grade A (Fresh),2023-01-02
Surulere,Ginger,2501.11,Exchange Rate Fluctuation,Scarce,Grade B (Average),2024-01-02
Magodo,Pepper,1069.61,Transportation Cost,Moderate,Grade A (Fresh),2024-01-04
Epe,Banana,158.63,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-12-29
Oke Bola,Garlic,2865.87,Weather Conditions,High,Grade B (Average),2024-01-06
Anthony Village,Maize,788.72,Pest/Disease Outbreak,Low,Grade B (Average),2023-05-01
Mushin,Plantain,285.77,Exchange Rate Fluctuation,Moderate,Grade B (Average),2023-12-09
Ologuneru,Pepper,1204.46,Pest/Disease Outbreak,Moderate,Grade C (Below Average),2024-03-06
Samonda,Beans,550.63,Weather Conditions,Low,Grade B (Average),2023-06-09
Oke Ado,Okra,630.1,Storage Limitations,Moderate,Grade A (Fresh),2023-12-08
Anthony Village,Pineapple,566.64,Exchange Rate Fluctuation,Low,Grade B (Average),2023-01-01
Ikeja,Fish (Fresh),5288.36,Demand Surge,Moderate,Grade A (Fresh),2023-04-23
Jericho,Rice,714.44,Exchange Rate Fluctuation,Scarce,Grade A (Fresh),2024-01-07
Lekki,Beans,781.18,Storage Limitations,High,Grade A (Fresh),2023-02-27
Agege,Fish (Fresh),2431.41,Market Competition,Moderate,Grade B (Average),2023-10-14
Apapa,Plantain,720.04,Transportation Cost,High,Grade A (Fresh),2023-01-28
Jericho,Carrots,309.83,Pest/Disease Outbreak,Scarce,Grade B (Average),2023-05-06
Akobo,Cabbage,228.2,Market Competition,High,Grade B (Average),2023-08-18
Eleyele,Oranges,385.21,Fuel Price Hike,High,Grade A (Fresh),2023-02-26
Ring Road (Central Ibadan),Cabbage,975.89,Demand Surge,Scarce,Grade B (Average),2023-09-26
Amuwo Odofin,Sweet Potatoes,766.39,Government Policies,Low,Grade A (Fresh),2023-06-16
Yaba,Tomatoes,517.6,Market Competition,High,Grade A (Fresh),2023-04-22
Eleyele,Onions,617.08,Weather Conditions,High,Grade A (Fresh),2023-01-26
Bodija,Mangoes,472.5,Seasonal Availability,High,Grade A (Fresh),2023-11-13
Oluyole Estate,Cucumber,506.31,Fuel Price Hike,High,Grade A (Fresh),2023-07-08
Apapa,Potatoes,1084.44,Fuel Price Hike,High,Grade A (Fresh),2023-12-13
Mushin,Onions,343.05,Storage Limitations,Moderate,Grade A (Fresh),2024-01-05
Agege,Potatoes,733.52,Weather Conditions,High,Grade A (Fresh),2023-07-13
Bodija,Watermelon,835.49,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-01-17
Ikoyi,Cucumber,296.34,Demand Surge,Moderate,Grade A (Fresh),2023-11-03
Samonda,Yam,733.52,Seasonal Availability,Low,Grade B (Average),2023-08-22
Magodo,Plantain,968.84,Government Policies,Low,Grade A (Fresh),2023-05-07
Jericho,Cabbage,512.31,Demand Surge,High,Grade A (Fresh),2023-05-21
Iwo Road,Chicken (Live),8755.28,Exchange Rate Fluctuation,High,Grade A (Fresh),2024-01-18
Maryland,Watermelon,1472.7,Storage Limitations,Moderate,Grade A (Fresh),2023-06-05
Ogba,Okra,295.61,Seasonal Availability,Moderate,Grade A (Fresh),2023-12-21
Ojodu,Tomatoes,701.94,Market Competition,High,Grade A (Fresh),2023-10-25
Agbowo,Potatoes,504.28,Government Policies,Low,Grade B (Average),2023-02-13
Mokola,Chicken (Live),6876.66,Market Competition,Moderate,Grade B (Average),2023-04-19
Ojodu,Maize,729.56,Seasonal Availability,Moderate,Grade A (Fresh),2023-12-22
Dugbe,Maize,548.21,Pest/Disease Outbreak,High,Grade A (Fresh),2023-05-10
Sango,Yam,1348.84,Pest/Disease Outbreak,Scarce,Grade C (Below Average),2023-11-08
Agbowo,Plantain,515.11,Government Policies,Low,Grade A (Fresh),2023-04-28
Agbowo,Sweet Potatoes,409.58,Fuel Price Hike,Low,Grade B (Average),2023-06-17
Victoria Island (VI),Carrots,605.72,Fuel Price Hike,Low,Grade C (Below Average),2023-08-25
Mokola,Fish (Fresh),1775.48,Government Policies,Low,Grade A (Fresh),2023-10-03
Alimosho,Cucumber,484.3,Fuel Price Hike,High,Grade C (Below Average),2023-03-07
Amuwo Odofin,Oranges,242.61,Weather Conditions,High,Grade A (Fresh),2023-04-23
Epe,Carrots,838.59,Transportation Cost,Low,Grade A (Fresh),2023-08-15
Agege,Plantain,812.95,Weather Conditions,Moderate,Grade A (Fresh),2024-02-08
Monatan,Ginger,2844.34,Seasonal Availability,High,Grade A (Fresh),2024-01-05
Badagry,Sweet Potatoes,477.96,Storage Limitations,Moderate,Grade B (Average),2023-09-23
Oshodi,Maize,339.53,Transportation Cost,Scarce,Grade B (Average),2023-05-15
Yaba,Maize,724.1,Weather Conditions,Moderate,Grade C (Below Average),2023-02-21
Festac Town,Watermelon,1815.77,Storage Limitations,High,Grade A (Fresh),2023-08-07
Ijegun,Pineapple,947.14,Fuel Price Hike,High,Grade A (Fresh),2023-12-18
Agbowo,Spinach,516.13,Fuel Price Hike,Low,Grade A (Fresh),2023-12-31
Ijegun,Onions,1127.24,Demand Surge,Moderate,Grade B (Average),2023-03-26
Maryland,Garlic,1496.97,Storage Limitations,High,Grade A (Fresh),2023-09-12
Mushin,Lettuce,391.42,Market Competition,High,Grade A (Fresh),2023-01-05
Ikoyi,Tomatoes,1243.53,Demand Surge,High,Grade A (Fresh),2023-05-01
Oke Bola,Rice,675.93,Storage Limitations,High,Grade B (Average),2024-02-10
Amuwo Odofin,Tomatoes,822.29,Storage Limitations,Low,Grade A (Fresh),2023-12-09
Ijegun,Pepper,987.69,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-11-13
Jericho,Plantain,844.19,Market Competition,High,Grade A (Fresh),2023-12-23
Orita-Challenge,Cucumber,256.35,Transportation Cost,High,Grade C (Below Average),2024-03-24
Surulere,Pepper,1451.67,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-03-28
Egbeda,Cucumber,138.65,Market Competition,High,Grade A (Fresh),2024-02-03
Epe,Chicken (Live),6851.12,Fuel Price Hike,High,Grade A (Fresh),2023-09-07
Ogba,Spinach,128.44,Exchange Rate Fluctuation,Scarce,Grade B (Average),2023-08-04
Gbagada,Rice,782.74,Weather Conditions,Moderate,Grade B (Average),2023-12-06
Ajah,Okra,995.78,Fuel Price Hike,High,Grade A (Fresh),2023-10-10
Mokola,Maize,671.41,Demand Surge,High,Grade A (Fresh),2023-04-20
Jericho,Spinach,293.04,Pest/Disease Outbreak,High,Grade B (Average),2023-04-05
Bodija,Cucumber,204.4,Weather Conditions,Low,Grade C (Below Average),2023-11-17
Oluyole Estate,Watermelon,2115.26,Storage Limitations,High,Grade A (Fresh),2023-01-01
Egbeda,Carrots,633.95,Weather Conditions,High,Grade B (Average),2023-09-19
Orita-Challenge,Rice,1436.1,Government Policies,Moderate,Grade A (Fresh),2023-06-22
Ikeja,Sweet Potatoes,633.13,Exchange Rate Fluctuation,High,Grade C (Below Average),2023-08-22
Ikeja,Plantain,537.93,Exchange Rate Fluctuation,High,Grade B (Average),2023-07-31
Apata,Onions,733.06,Market Competition,High,Grade A (Fresh),2024-03-03
Victoria Island (VI),Okra,235.52,Pest/Disease Outbreak,High,Grade A (Fresh),2023-06-15
Mushin,Plantain,422.84,Exchange Rate Fluctuation,Moderate,Grade B (Average),2023-10-06
Yaba,Maize,330.79,Seasonal Availability,Scarce,Grade B (Average),2023-09-29
Oshodi,Maize,245.11,Weather Conditions,High,Grade A (Fresh),2023-01-03
Ikoyi,Yam,1154.92,Storage Limitations,High,Grade A (Fresh),2023-02-26
Monatan,Fish (Fresh),2046.2,Storage Limitations,Low,Grade A (Fresh),2023-09-12
Oluyole Estate,Pepper,970.48,Pest/Disease Outbreak,High,Grade A (Fresh),2023-01-05
Amuwo Odofin,Okra,917.51,Weather Conditions,Moderate,Grade A (Fresh),2024-01-26
Bodija,Pepper,713.46,Transportation Cost,Moderate,Grade A (Fresh),2023-06-03
Ojoo,Beans,610.33,Market Competition,High,Grade B (Average),2023-10-13
Sango,Mangoes,461.37,Seasonal Availability,Scarce,Grade B (Average),2023-04-13
Samonda,Yam,1250.53,Government Policies,High,Grade A (Fresh),2023-03-25
Challenge,Fish (Fresh),2815.01,Fuel Price Hike,High,Grade A (Fresh),2023-09-04
Monatan,Pineapple,895.43,Weather Conditions,Moderate,Grade C (Below Average),2023-09-16
Mokola,Potatoes,431.27,Government Policies,High,Grade A (Fresh),2024-03-24
Apapa,Lettuce,475.51,Seasonal Availability,Moderate,Grade C (Below Average),2023-10-15
Orita-Challenge,Sweet Potatoes,1276.34,Fuel Price Hike,Moderate,Grade A (Fresh),2023-05-07
